group_id,display_group_ids,script_types,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,exposed_supply_sats,first_exposed_blockheight,first_exposed_time,last_spend_blockheight,last_spend_time,details,identity,first_exposed_unix_time,last_spend_unix_time
3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,P2SH,"{ ""P2SH"" : 3119651095672 }",active,2360,3119651095672,871495,1732281641,944997,1776150628,None,Bithumb,1732281641,1776150628
12d5a845f2b212ce0c3bd65a4035881d9219090e,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,P2PKH,"{ ""P2PKH"" : 3100007635064 }",inactive,246,3100007635064,55632,1273738958,70071,1280014523,,unidentified,1273738958,1280014523
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,P2WSH,"{ ""P2WSH"" : 3080000005184 }",active,8,3080000005184,877255,1735686730,908911,1754515954,3-of-5 multisig,Bitfinex,1735686730,1754515954
d5d4c8c40b7ca4c08d573196ebad8d62e6f3e90f,bc1q6h2v33qt0jjvpr2hxxtwhtvdvtn086g0n2qu06,P2WPKH,"{ ""P2WPKH"" : 3057392236802 }",active,11,3057392236802,922343,1762358087,942024,1774373269,,Bitcoin Group SE,1762358087,1774373269
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,P2SH,"{ ""P2SH"" : 2698353629972 }",active,34,2698353629972,561082,1549035993,933986,1769526087,4-of-8 multisig,Boerse Stuttgart Digital,1549035993,1769526087
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,P2SH,"{ ""P2SH"" : 2606238471777 }",active,39,2606238471777,820136,1701953241,931290,1767801834,None,unidentified,1701953241,1767801834
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,P2WSH,"{ ""P2WSH"" : 2548242625890 }",active,1,2548242625890,832688,1709301624,943397,1775156742,3-of-5 multisig,Abraxas Capital Mgmt,1709301624,1775156742
bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,P2WSH,"{ ""P2WSH"" : 2536973241803 }",active,55,2536973241803,889381,1742914776,944149,1775634476,3-of-5 multisig,River,1742914776,1775634476
328cc5ecb7b707010ab88b9a859df9dde03128ab,15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,P2PKH,"{ ""P2PKH"" : 2359950813817 }",active,79,2359950813817,741078,1655408553,937194,1771400541,,unidentified,1655408553,1771400541
8544a6c6f4965e77a7d55f4c5535c879e098dc9f,bc1qs4z2d3h5je080f74tax92dwg08sf3hylj9vfg3,P2WPKH,"{ ""P2WPKH"" : 2075501096960 }",active,5,2075501096960,933407,1769110170,936399,1771001118,,Revolut,1769110170,1771001118
1d5bfa3bbeb7ce4e78aa6e32828a969fd48b4d4a,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,P2WPKH,"{ ""P2WPKH"" : 2035161069088 }",active,2625,2035161069088,725859,1646387452,944940,1776113751,,Crypto.com,1646387452,1776113751
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,P2WSH,"{ ""P2WSH"" : 2021425880711 }",active,54,2021425880711,745992,1658472975,944977,1776140349,2-of-2 multisig,Bitbank,1658472975,1776140349
4b39e3c5b4c6c14324af7d0ce99aaa216cef768c,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,P2PKH,"{ ""P2PKH"" : 2000800345240 }",inactive,117,2000800345240,459340,1490709559,459341,1490709895,,unidentified,1490709559,1490709895
f2a640eb62348db7aa5e59e8143c2055747a89b2,bc1q72nyp6mzxjxm02j7t85pg0pq24684zdj2wuweu,P2WPKH,"{ ""P2WPKH"" : 1912493813264 }",active,1,1912493813264,877104,1735593578,944939,1776113164,,Purpose Investments,1735593578,1776113164
3KZbyboy2MKfQjDKKf2R4UdVbUKgYvso22,3KZbyboy2MKfQjDKKf2R4UdVbUKgYvso22,P2SH,"{ ""P2SH"" : 1758890241700 }",active,1,1758890241700,940897,1773667106,942034,1774376169,None,Bitfinex,1773667106,1774376169
bc1p6mv2d3rpfhatkv77r6huuurgqyyklxpsnw3090k2qjwqtd6cwkcqzsruxt,bc1p6mv2d3rpfhatkv77r6huuurgqyyklxpsnw3090k2qjwqtd6cwkcqzsruxt,P2TR,"{ ""P2TR"" : 1650000500000 }",never_spent,34,1650000500000,940788,1773588149,,,,Babylon,1773588149,
a91b3e836ce8da023fb32f6866eb09096a34ac88,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,P2PKH,"{ ""P2PKH"" : 1574555991884 }",inactive,108,1574555991884,505553,1516640759,505587,1516659244,,unidentified,1516640759,1516659244
3GPAWK5aUB5Ve9akvTzZgp69USjgbhFbay,3GPAWK5aUB5Ve9akvTzZgp69USjgbhFbay,P2SH,"{ ""P2SH"" : 1572321369179 }",active,227,1572321369179,678122,1617778570,940919,1773681969,2-of-3 multisig,unidentified,1617778570,1773681969
3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3,3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3,P2SH,"{ ""P2SH"" : 1549193307556 }",active,115,1549193307556,824506,1704478197,944099,1775597711,None,VanEck,1704478197,1775597711
6f9119f251a225e55992359f1dddbb1032efb6c0,1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD,P2PKH,"{ ""P2PKH"" : 1500000139867 }",inactive,21,1500000139867,720872,1643450370,839717,1713410760,,Binance,1643450370,1713410760
f4ac4a8dd7e146240cdec9869c44386d04a2bd1d,1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,P2PKH,"{ ""P2PKH"" : 1460458333521 }",active,111,1460458333521,822203,1703142175,944025,1775551321,,Binance,1703142175,1775551321
fae93dc6c9fcf3e1dd75efe131345d69fc7fb683,bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0,P2WPKH,"{ ""P2WPKH"" : 1423251876822 }",active,18883,1423251876822,865542,1728874019,944197,1775657741,,Crypto.com,1728874019,1775657741
7ccd51543d2467bb89666b175acb5e647383c365,1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8,P2PKH,"{ ""P2PKH"" : 1383707743845 }",active,138,1383707743845,771695,1673588396,942264,1774505697,,Upbit,1673588396,1774505697
823465619bf50dc6b67443e102891fef768115e0,bc1qsg6x2cvm75xuddn5g0ss9zglaamgz90q8vcp8w,P2WPKH,"{ ""P2WPKH"" : 1351427986495 }",active,5,1351427986495,912325,1756511099,914992,1758047253,,Paxos,1756511099,1758047253
bc1p4zxtwg3rhr5jqkzuvf0q03m2a69clydghqqz6arhldxln7ew0guq840aqm,bc1p4zxtwg3rhr5jqkzuvf0q03m2a69clydghqqz6arhldxln7ew0guq840aqm,P2TR,"{ ""P2TR"" : 1250000500000 }",never_spent,26,1250000500000,940783,1773585745,,,,Babylon,1773585745,
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,P2SH,"{ ""P2SH"" : 1247728063352 }",active,111,1247728063352,671980,1614174908,936204,1770889407,None,unidentified,1614174908,1770889407
36X44rmLtk218sXACZ3gFpNMFENi6dQ2n3,36X44rmLtk218sXACZ3gFpNMFENi6dQ2n3,P2SH,"{ ""P2SH"" : 1244503761855 }",active,19,1244503761855,942945,1774884267,943078,1774970566,None,unidentified,1774884267,1774970566
c5f0b9b36d676822b06135ac6c5b5567a7b13564,bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64,P2WPKH,"{ ""P2WPKH"" : 1224326796833 }",active,1,1224326796833,814641,1698732830,944986,1776143442,,BitMEX,1698732830,1776143442
eae4650307618512ede068a2f888f95a828de3d5,bc1qatjx2qc8vxz39m0qdz303z8et2pgmc74xz8km3,P2WPKH,"{ ""P2WPKH"" : 1102269338356 }",active,2,1102269338356,877094,1735587102,944909,1776094429,,CI Global Asset Mgmt,1735587102,1776094429
fc36ba74ec00390a25d0f98e12133b44968a935c,1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,P2PKH,"{ ""P2PKH"" : 1089741890118 }",active,68,1089741890118,795034,1687167018,944994,1776148408,,Binance,1687167018,1776148408
3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H,3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H,P2SH,"{ ""P2SH"" : 1027883188998 }",active,121,1027883188998,561082,1549035993,936069,1770828324,3-of-8 multisig,Boerse Stuttgart Digital,1549035993,1770828324
5ea20ba25d499f6c130c95470db4639f48caa1bc,19dNe9Xg6JWvszgU3NuM6TNd2wHmANPbHB,P2PKH,"{ ""P2PKH"" : 1026496629791 }",active,8,1026496629791,825056,1704835792,937098,1771342297,,NYDIG,1704835792,1771342297
8e938244443156ba7b36316eb11c799f744e1869,1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,P2PKH,"{ ""P2PKH"" : 1000001063949 }",inactive,36,1000001063949,761378,1667373869,761392,1667385728,,Upbit,1667373869,1667385728
a9c543d59f5daca18c9db01e1fbeb5e2264d39dd,1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,P2PKH,"{ ""P2PKH"" : 1000000858861 }",inactive,27,1000000858861,761381,1667376251,761392,1667385728,,Upbit,1667376251,1667385728
0e2525ac9793e73c284f067aecab5f10f5ce6dd6,12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,P2PKH,"{ ""P2PKH"" : 1000000768634 }",inactive,27,1000000768634,761380,1667375892,761392,1667385728,,Upbit,1667375892,1667385728
4bbd3511c60a2adc6f6b0aa5ee7fbbdeaf1a9ff8,17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,P2PKH,"{ ""P2PKH"" : 1000000761680 }",inactive,27,1000000761680,761380,1667375892,761392,1667385728,,Upbit,1667375892,1667385728
55ef18af8ee521862d32b826a5e1e0d248eca980,18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,P2PKH,"{ ""P2PKH"" : 1000000727137 }",inactive,29,1000000727137,761381,1667376251,761392,1667385728,,Upbit,1667376251,1667385728
87ccbdb1aba7e6875f750c0823bd63bf972a2fa9,1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewi,P2PKH,"{ ""P2PKH"" : 1000000603141 }",inactive,37,1000000603141,761379,1667374646,761392,1667385728,,Upbit,1667374646,1667385728
edf9b187cd16b0e1de0161e271c2111a7369771b,1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJ,P2PKH,"{ ""P2PKH"" : 1000000596183 }",inactive,31,1000000596183,761379,1667374646,761392,1667385728,,Upbit,1667374646,1667385728
e51e900d200db76790d1fecdb7e359344233e12d,1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5,P2PKH,"{ ""P2PKH"" : 1000000586819 }",inactive,30,1000000586819,761378,1667373869,761392,1667385728,,Upbit,1667373869,1667385728
e28faa70532d9992840075ed898319e3ec572c75,1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,P2PKH,"{ ""P2PKH"" : 1000000586059 }",inactive,25,1000000586059,761374,1667371537,761392,1667385728,,Upbit,1667371537,1667385728
0307c91ad43258578beb1eb2ac0390845faf9dd1,1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,P2PKH,"{ ""P2PKH"" : 1000000341702 }",inactive,37,1000000341702,761373,1667370763,761378,1667373869,,Upbit,1667370763,1667373869
3726414c32dc8b26532a13a680a80316f9f1a908,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,P2PKH,"{ ""P2PKH"" : 994828661052 }",active,454,994828661052,759310,1666154240,944920,1776101023,,gate.io,1666154240,1776101023
1fe16878d9f529b7d0491e49269a71a8c81c57f3,13uZyaPbt4rTwYQ8xWFySVUzWH3pk2P5c7|bc1qrlsks7xe755m05zfreyjdxn34rypc4lnghtcwc,P2PKH|P2WPKH,"{ ""P2PKH"" : 940182882271, ""P2WPKH"" : 37544938577 }",active,52,977727820848,723449,1644934787,929072,1766463952,,MEXC,1644934787,1766463952
2b69f01430dd8c51ad197491917b1045689ef6ca,bc1q9d5lq9psmkx9rtgewjgez7csg45faak2cccew8,P2WPKH,"{ ""P2WPKH"" : 972500002430 }",inactive,16,972500002430,890355,1743487244,890389,1743506544,,HashKey,1743487244,1743506544
dc6bf86354105de2fcd9868a2b0376d6731cb92f,1M6V17HCv255sevEvB4P9fjZYoJC6z9NBJ|bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,P2PKH|P2WPKH,"{ ""P2PKH"" : 600, ""P2WPKH"" : 944447160383 }",active,825,944447160983,704052,1633677284,945000,1776152105,,Binance,1633677284,1776152105
45b1d05909f94c67bc804e1ca16939609780e3e7,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,P2PKH,"{ ""P2PKH"" : 934334117198 }",active,59,934334117198,661174,1607863854,927535,1765523290,,unidentified,1607863854,1765523290
33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ,33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ,P2SH,"{ ""P2SH"" : 925209053402 }",active,45,925209053402,598256,1570432921,917011,1759204362,None,unidentified,1570432921,1759204362
316677ae80f2d3be2c5d93c7dd88428316ccf47d,bc1qx9n80t5q7tfmutzaj0ramzzzsvtveara68zntc,P2WPKH,"{ ""P2WPKH"" : 910351705838 }",active,3232,910351705838,916336,1758812715,944963,1776131258,,Kraken,1758812715,1776131258
d5d06a393241dd2818197ab424596c8fb5ced9c6,1LVYbnSX6f6vE2Zn4zs2oZ4eKyBgzkqaay,P2PKH,"{ ""P2PKH"" : 864733609713 }",inactive,80,864733609713,765294,1669793267,878295,1736303130,,unidentified,1669793267,1736303130
4ccbf912a8f59a1fd60bf90907c5ee0c178c85f1,bc1qfn9ljy4g7kdpl4stlyys030wpstcep03w9rvx2,P2WPKH,"{ ""P2WPKH"" : 846993981298 }",active,5,846993981298,891832,1744324301,931098,1767676496,,CleanSpark,1744324301,1767676496
31f19a7d0379f56cb3be0761c21f1f0c9553a47f,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,P2PKH,"{ ""P2PKH"" : 794106721262 }",inactive,78,794106721262,49995,1270915355,85225,1287123778,,unidentified,1270915355,1287123778
106f940845afe3b195d4d101a3d68e4e13ffec6d,12VuUfQHTGqWDvBzm8TBad1mZBm4hjGEzN,P2PKH,"{ ""P2PKH"" : 793736625825 }",active,521,793736625825,777589,1676954851,944997,1776150628,,Binance,1676954851,1776150628
3BHXygmhNMaCcNn76S8DLdnZ5ucPtNtWGb,3BHXygmhNMaCcNn76S8DLdnZ5ucPtNtWGb,P2SH,"{ ""P2SH"" : 785468255398 }",active,6,785468255398,738727,1654004170,944992,1776146210,None,Cobo.com,1654004170,1776146210
08ed50a48031f3885d1572fa70284f6336dbe673,1pChUJ9WQhWtqyt5RtSnLarZYQztZsbzi|bc1qprk4pfyqx8ecshg4wta8q2z0vvmdhennv5vsl3,P2PKH|P2WPKH,"{ ""P2PKH"" : 632997114331, ""P2WPKH"" : 150908642910 }",active,17,783905757241,854449,1722232898,941323,1773943231,,Binance US,1722232898,1773943231
1581b2329e907935930523644182b7fcf3960f63,bc1qzkqmyv57jpuntyc9ydjyrq4hlneevrmr0xe9kz,P2WPKH,"{ ""P2WPKH"" : 777815698616 }",active,6,777815698616,775609,1675880116,943292,1775088004,,unidentified,1675880116,1775088004
3f066fed5c2662bd4dc8792b584e2a0bc9366526,bc1q8urxlm2uye3t6nwg0y44sn32p0ynvefxpqseu4,P2WPKH,"{ ""P2WPKH"" : 746397329209 }",active,73,746397329209,792524,1685699450,944036,1775560489,,unidentified,1685699450,1775560489
bc1qcxycjmmyl0fwd0nnqv73clpfrjwvcrqws7m0r35c96ncv57989csr83nrp,bc1qcxycjmmyl0fwd0nnqv73clpfrjwvcrqws7m0r35c96ncv57989csr83nrp,P2WSH,"{ ""P2WSH"" : 744999989950 }",active,1,744999989950,875028,1734366876,938335,1772051756,3-of-5 multisig,Ledn,1734366876,1772051756
34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC,34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC,P2SH,"{ ""P2SH"" : 741123861709 }",active,110,741123861709,551641,1543286528,903457,1751330578,None,unidentified,1543286528,1751330578
39wVd42giU95ca39sEPkbPTpWygvsBDuA5,39wVd42giU95ca39sEPkbPTpWygvsBDuA5,P2SH,"{ ""P2SH"" : 735497049046 }",active,14,735497049046,781860,1679434763,940317,1773267925,None,OKEx,1679434763,1773267925
f7011e1d45ede6a541bf0f70fbbffc1823d2912d,bc1q7uq3u829ahn22sdlpac0h0lurq3a9yfd3ew69f,P2WPKH,"{ ""P2WPKH"" : 726937760469 }",active,1,726937760469,872380,1732827183,942334,1774537181,,Revolut,1732827183,1774537181
7929bd39a690f2f4c0bb8f1f28858a4e25dd01d1,bc1q0y5m6wdxjre0fs9m3u0j3pv2fcja6qw3a2f6ql,P2WPKH,"{ ""P2WPKH"" : 702800170607 }",active,5,702800170607,910925,1755716415,929607,1766774216,,Kraken,1755716415,1766774216
216a0d339ab6ddc696b1b239b9b65810c0bf73d5,143gLvWYUojXaWZRrxquRKpVNTkhmr415B,P2PKH,"{ ""P2PKH"" : 697270340442 }",active,220,697270340442,601943,1572635374,944725,1775990444,,Huobi,1572635374,1775990444
ca41c1387c558e9aed48e5d43844e7f941e88338,bc1qefquzwru2k8f4m2guh2rs388l9q73qecf0dejm,P2WPKH,"{ ""P2WPKH"" : 691697153719 }",active,32,691697153719,870123,1731500498,944447,1775813494,,unidentified,1731500498,1775813494
c26c8ec7e4627e9a458b7cd57934bb1be27f3c2c,bc1qcfkga3lyvflf53vt0n2hjd9mr03870pvjw2z72,P2WPKH,"{ ""P2WPKH"" : 675715872319 }",active,7,675715872319,912322,1756510170,931036,1767640792,,Paxos,1756510170,1767640792
ef596ac8d7591dc24d295275158526b34ace5e28,1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE,P2PKH,"{ ""P2PKH"" : 650723336432 }",inactive,125,650723336432,295845,1397501410,659834,1607037519,,unidentified,1397501410,1607037519
f2ca9327bdb6d763865e5b4d263a134688537b58,bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5h,P2WPKH,"{ ""P2WPKH"" : 637300033704 }",active,36,637300033704,832662,1709288080,941396,1773990826,,Binance,1709288080,1773990826
81f2f8d82d3de68d635351eb9d5b83003102a52e,1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,P2PKH,"{ ""P2PKH"" : 632061381522 }",active,89,632061381522,503012,1515329869,915044,1758073420,,Bitstamp,1515329869,1758073420
3FsnCQKoqVESiKaXbtE3cgxrtCfGcq5aq8,3FsnCQKoqVESiKaXbtE3cgxrtCfGcq5aq8,P2SH,"{ ""P2SH"" : 626737894821 }",active,15,626737894821,789249,1683808999,940393,1773319171,None,unidentified,1683808999,1773319171
aef04ec172856c542443873b5f9f66244b16d23d,bc1q4mcyastjs4k9gfzrsua4l8mxy393d53a6nnd4r,P2WPKH,"{ ""P2WPKH"" : 604468843566 }",active,366,604468843566,729366,1648459919,898469,1748275578,,UAE Royal Group,1648459919,1748275578
466d2a0fc55839e7bef6db76c21e107568b46b90,17RP5JDiYLj1nj7QRvvf4VrAR3Bx1kK15E|bc1qgekj5r79tqu700hkmdmvy8ssw45tg6us0ycew0,P2PKH|P2WPKH,"{ ""P2PKH"" : 326774674000, ""P2WPKH"" : 275604199050 }",active,40,602378873050,632162,1590746146,944948,1776118088,,unidentified,1590746146,1776118088
bc1qu0gedsrw3axk37avmnahp2c7rszkeu6f9fx6shxg4plew8as825qm77x6e,bc1qu0gedsrw3axk37avmnahp2c7rszkeu6f9fx6shxg4plew8as825qm77x6e,P2WSH,"{ ""P2WSH"" : 588000000876 }",inactive,6,588000000876,880996,1737949954,881575,1738284621,2-of-3 multisig,unidentified,1737949954,1738284621
1e773e11e6bb0eacada1c8496beeac294d27694e,13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8p,P2PKH,"{ ""P2PKH"" : 570008290861 }",inactive,48,570008290861,486334,1506009601,600823,1571897637,,unidentified,1506009601,1571897637
32D5Gxk4LVDiDh3BsieB1hEaEF6o9W2Zwy,32D5Gxk4LVDiDh3BsieB1hEaEF6o9W2Zwy,P2SH,"{ ""P2SH"" : 562250000546 }",active,186,562250000546,904406,1751865640,905013,1752202536,None,unidentified,1751865640,1752202536
bad901b79ae9e4d68253e378860ae073507b3492,1J2xea7M6N2XiQCuN4TuiLPV1TQ2eAwzoa|bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6,P2PKH|P2WPKH,"{ ""P2PKH"" : 42681163674, ""P2WPKH"" : 497644368326 }",active,77,540325532000,897430,1747671225,944878,1776075589,,unidentified,1747671225,1776075589
3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M,3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M,P2SH,"{ ""P2SH"" : 528536228631 }",inactive,73,528536228631,575742,1557697310,763032,1668356063,2-of-3 multisig,gate.io,1557697310,1668356063
7fd217ce6511471f3c77d855e343698daee58fb3,bc1q0lfp0nn9z9r370rhmp27xsmf3khwtranuegp9k,P2WPKH,"{ ""P2WPKH"" : 522051030157 }",active,10,522051030157,864631,1728324446,943359,1775134493,,Bitvavo,1728324446,1775134493
